
Network created: 2022-01-12_00-39-20
Model : Custom_Deep-DMP.scripts.utils.networks.DMPIntegratorNet
Data Path : D:/rllab/scripts/dmp/scripts/Custom_Deep-DMP\scripts/Data_Generator/generated\dmp_parameter-traj_N_5000000_points_4_n-bf_10_ay_15.pkl
Model Save Path : D:\rllab\scripts\dmp\scripts\Custom_Deep-DMP\models\Model_DMP_Integrator_2022-01-12_00-39-20
Layer Sizes : [24, 128, 128, 128, 40]
Importing dmp_parameter-traj_N_5000000_points_4_n-bf_10_ay_15.pkl ...
dmp_parameter-traj_N_5000000_points_4_n-bf_10_ay_15.pkl imported
Splitting dataset
Saving training parameters
Loss Function : MSELoss()
Optimizer : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 0.001
    lr: 0.0001
    weight_decay: 0
)
Initial Validation Loss : tensor(1248.8529, device='cuda:0')

Epoch : 1 | Train Loss : 580.7332764 | Val. Loss : 297.6082764 | Val. Fail : 0
Epoch : 2 | Train Loss : 250.6011200 | Val. Loss : 231.5912323 | Val. Fail : 0
Epoch : 3 | Train Loss : 124.7451630 | Val. Loss : 68.6862793 | Val. Fail : 0
Epoch : 4 | Train Loss : 65.3346329 | Val. Loss : 57.6569977 | Val. Fail : 0
Epoch : 5 | Train Loss : 61.1064796 | Val. Loss : 55.8354492 | Val. Fail : 0
Epoch : 6 | Train Loss : 60.0198059 | Val. Loss : 54.0588760 | Val. Fail : 0
Epoch : 7 | Train Loss : 59.8943901 | Val. Loss : 54.2231102 | Val. Fail : 1
Epoch : 8 | Train Loss : 60.0908432 | Val. Loss : 53.1796761 | Val. Fail : 0
Epoch : 9 | Train Loss : 59.7188606 | Val. Loss : 53.9246674 | Val. Fail : 1
Epoch : 10 | Train Loss : 58.9858704 | Val. Loss : 55.4985199 | Val. Fail : 2
Epoch : 11 | Train Loss : 58.3188705 | Val. Loss : 53.4809380 | Val. Fail : 3
Epoch : 12 | Train Loss : 57.4759827 | Val. Loss : 52.8073730 | Val. Fail : 0
Epoch : 13 | Train Loss : 57.3892403 | Val. Loss : 54.4880447 | Val. Fail : 1
Epoch : 14 | Train Loss : 58.2975769 | Val. Loss : 54.7240334 | Val. Fail : 2
Epoch : 15 | Train Loss : 58.1052551 | Val. Loss : 56.1965904 | Val. Fail : 3
Epoch : 16 | Train Loss : 58.5614624 | Val. Loss : 54.4216690 | Val. Fail : 4
Epoch : 17 | Train Loss : 57.8163872 | Val. Loss : 54.2539253 | Val. Fail : 5
Epoch : 18 | Train Loss : 59.8814735 | Val. Loss : 53.7263756 | Val. Fail : 6
