
Network created: 2022-01-12_05-04-18
Model : Custom_Deep-DMP.scripts.utils.networks.DMPIntegratorNet
Data Path : /home/edgar/rllab/scripts/dmp/Custom_Deep-DMP/scripts/Data_Generator/generated/dmp_parameter-traj_N_2000000_points_3_n-bf_10_ay_15.pkl
Model Save Path : /home/edgar/rllab/scripts/dmp/Custom_Deep-DMP/models/Model_DMP_Integrator_2022-01-12_05-04-18
Layer Sizes : [24, 1024, 1024, 1024, 1024, 1024, 1024, 40]
Importing dmp_parameter-traj_N_2000000_points_3_n-bf_10_ay_15.pkl ...
dmp_parameter-traj_N_2000000_points_3_n-bf_10_ay_15.pkl imported
Splitting dataset
Saving training parameters
Loss Function : MSELoss()
Optimizer : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 0.001
    lr: 0.0003
    weight_decay: 0
)
Initial Validation Loss : tensor(1258.9279, device='cuda:0')

Epoch : 1 | Train Loss : 270.2670898 | Val. Loss : 266.9953308 | Val. Fail : 0
Epoch : 2 | Train Loss : 267.4132080 | Val. Loss : 267.3896484 | Val. Fail : 1
Epoch : 3 | Train Loss : 267.3982849 | Val. Loss : 267.0346375 | Val. Fail : 2
Epoch : 4 | Train Loss : 267.4253845 | Val. Loss : 267.1008301 | Val. Fail : 3
Epoch : 5 | Train Loss : 267.4283142 | Val. Loss : 267.4816895 | Val. Fail : 4
Epoch : 6 | Train Loss : 73.7637863 | Val. Loss : 39.2618294 | Val. Fail : 0
Epoch : 7 | Train Loss : 39.9873314 | Val. Loss : 38.6018524 | Val. Fail : 0
Epoch : 8 | Train Loss : 39.5289688 | Val. Loss : 38.3826103 | Val. Fail : 0
Epoch : 9 | Train Loss : 39.4404831 | Val. Loss : 38.5736122 | Val. Fail : 1
Epoch : 10 | Train Loss : 39.3808937 | Val. Loss : 38.3990326 | Val. Fail : 2
Epoch : 11 | Train Loss : 39.3897591 | Val. Loss : 38.4416924 | Val. Fail : 3
Epoch : 12 | Train Loss : 39.3557396 | Val. Loss : 38.4537010 | Val. Fail : 4
Epoch : 13 | Train Loss : 39.3542404 | Val. Loss : 38.3921204 | Val. Fail : 5
Epoch : 14 | Train Loss : 39.3332596 | Val. Loss : 38.5725021 | Val. Fail : 6
Epoch : 15 | Train Loss : 39.3144073 | Val. Loss : 38.4666634 | Val. Fail : 7
Epoch : 16 | Train Loss : 39.3018227 | Val. Loss : 38.2586403 | Val. Fail : 0
Epoch : 17 | Train Loss : 39.3010559 | Val. Loss : 38.3579521 | Val. Fail : 1
Epoch : 18 | Train Loss : 39.2700539 | Val. Loss : 38.3421745 | Val. Fail : 2
Epoch : 19 | Train Loss : 39.2639427 | Val. Loss : 38.2258835 | Val. Fail : 0
Epoch : 20 | Train Loss : 39.2681694 | Val. Loss : 38.3445396 | Val. Fail : 1
Epoch : 21 | Train Loss : 39.2458382 | Val. Loss : 38.2494278 | Val. Fail : 2
Epoch : 22 | Train Loss : 39.2251968 | Val. Loss : 38.2861748 | Val. Fail : 3
Epoch : 23 | Train Loss : 39.2389107 | Val. Loss : 38.3119698 | Val. Fail : 4
Epoch : 24 | Train Loss : 39.2350121 | Val. Loss : 38.2574348 | Val. Fail : 5
Epoch : 25 | Train Loss : 39.2152672 | Val. Loss : 38.3165665 | Val. Fail : 6
Epoch : 26 | Train Loss : 39.1938744 | Val. Loss : 38.3576813 | Val. Fail : 7
Epoch : 27 | Train Loss : 39.2105904 | Val. Loss : 38.2470474 | Val. Fail : 8
Epoch : 28 | Train Loss : 39.2094002 | Val. Loss : 38.2018394 | Val. Fail : 0
Epoch : 29 | Train Loss : 39.2089500 | Val. Loss : 38.2201424 | Val. Fail : 1
Epoch : 30 | Train Loss : 39.1983604 | Val. Loss : 38.2553482 | Val. Fail : 2
Epoch : 31 | Train Loss : 39.2068443 | Val. Loss : 38.2249146 | Val. Fail : 3
Epoch : 32 | Train Loss : 39.2087402 | Val. Loss : 38.2745247 | Val. Fail : 4
Epoch : 33 | Train Loss : 39.1925011 | Val. Loss : 38.2686958 | Val. Fail : 5
Epoch : 34 | Train Loss : 39.1994362 | Val. Loss : 38.3761406 | Val. Fail : 6
Epoch : 35 | Train Loss : 39.1718788 | Val. Loss : 38.2559929 | Val. Fail : 7
Epoch : 36 | Train Loss : 39.1890450 | Val. Loss : 38.2814140 | Val. Fail : 8
Epoch : 37 | Train Loss : 39.1818962 | Val. Loss : 38.2861748 | Val. Fail : 9
Epoch : 38 | Train Loss : 39.1739998 | Val. Loss : 38.2011185 | Val. Fail : 0
Epoch : 39 | Train Loss : 39.1609421 | Val. Loss : 38.2510147 | Val. Fail : 1
Epoch : 40 | Train Loss : 39.1488609 | Val. Loss : 38.3558807 | Val. Fail : 2
Epoch : 41 | Train Loss : 39.1330261 | Val. Loss : 38.2123985 | Val. Fail : 3
Epoch : 42 | Train Loss : 39.1241379 | Val. Loss : 38.2340775 | Val. Fail : 4
Epoch : 43 | Train Loss : 39.1070175 | Val. Loss : 38.6070633 | Val. Fail : 5
Epoch : 44 | Train Loss : 39.1279449 | Val. Loss : 38.2047997 | Val. Fail : 6
Epoch : 45 | Train Loss : 39.0880852 | Val. Loss : 38.3156204 | Val. Fail : 7
Epoch : 46 | Train Loss : 39.1012459 | Val. Loss : 38.2702446 | Val. Fail : 8
Epoch : 47 | Train Loss : 39.0823288 | Val. Loss : 38.2440796 | Val. Fail : 9
Epoch : 48 | Train Loss : 39.0872574 | Val. Loss : 38.4218864 | Val. Fail : 10
Epoch : 49 | Train Loss : 39.0872307 | Val. Loss : 38.2610207 | Val. Fail : 11
Epoch : 50 | Train Loss : 39.0972748 | Val. Loss : 38.2128181 | Val. Fail : 12
Epoch : 51 | Train Loss : 39.0669365 | Val. Loss : 38.2697678 | Val. Fail : 13
Epoch : 52 | Train Loss : 39.0831718 | Val. Loss : 38.2468719 | Val. Fail : 14
Epoch : 53 | Train Loss : 39.0769196 | Val. Loss : 38.1971283 | Val. Fail : 0
Epoch : 54 | Train Loss : 39.0781860 | Val. Loss : 38.2918549 | Val. Fail : 1
Epoch : 55 | Train Loss : 39.0662308 | Val. Loss : 38.2206802 | Val. Fail : 2
Epoch : 56 | Train Loss : 39.0534286 | Val. Loss : 38.3450546 | Val. Fail : 3
Epoch : 57 | Train Loss : 39.0485001 | Val. Loss : 38.2986107 | Val. Fail : 4
Epoch : 58 | Train Loss : 39.0492020 | Val. Loss : 38.2911491 | Val. Fail : 5
Epoch : 59 | Train Loss : 39.0437050 | Val. Loss : 38.2251663 | Val. Fail : 6
Epoch : 60 | Train Loss : 39.0413017 | Val. Loss : 38.1955109 | Val. Fail : 0
Epoch : 61 | Train Loss : 39.0613403 | Val. Loss : 38.4015579 | Val. Fail : 1
Epoch : 62 | Train Loss : 39.0290718 | Val. Loss : 38.2018433 | Val. Fail : 2
Epoch : 63 | Train Loss : 39.0349541 | Val. Loss : 38.2402763 | Val. Fail : 3
Epoch : 64 | Train Loss : 39.0339088 | Val. Loss : 38.2233009 | Val. Fail : 4
Epoch : 65 | Train Loss : 39.0395393 | Val. Loss : 38.2227135 | Val. Fail : 5
Epoch : 66 | Train Loss : 39.0327568 | Val. Loss : 38.2769165 | Val. Fail : 6
Epoch : 67 | Train Loss : 39.0368652 | Val. Loss : 38.3568802 | Val. Fail : 7
Epoch : 68 | Train Loss : 39.0198517 | Val. Loss : 38.2456360 | Val. Fail : 8
Epoch : 69 | Train Loss : 39.0243607 | Val. Loss : 38.2189903 | Val. Fail : 9
Epoch : 70 | Train Loss : 39.2273064 | Val. Loss : 38.2600250 | Val. Fail : 10
Epoch : 71 | Train Loss : 39.3114624 | Val. Loss : 38.2197952 | Val. Fail : 11
Epoch : 72 | Train Loss : 39.3707314 | Val. Loss : 38.2150650 | Val. Fail : 12
Epoch : 73 | Train Loss : 39.3925095 | Val. Loss : 38.2480431 | Val. Fail : 13
Epoch : 74 | Train Loss : 39.3736382 | Val. Loss : 38.2534561 | Val. Fail : 14
Epoch : 75 | Train Loss : 39.3602867 | Val. Loss : 38.2046051 | Val. Fail : 15
Epoch : 76 | Train Loss : 39.4215889 | Val. Loss : 38.2882881 | Val. Fail : 16
Epoch : 77 | Train Loss : 39.4079094 | Val. Loss : 38.2325859 | Val. Fail : 17
Epoch : 78 | Train Loss : 39.4227905 | Val. Loss : 38.2346344 | Val. Fail : 18
Epoch : 79 | Train Loss : 39.4058609 | Val. Loss : 38.3524628 | Val. Fail : 19
Epoch : 80 | Train Loss : 39.3775215 | Val. Loss : 38.4120331 | Val. Fail : 20
Epoch : 81 | Train Loss : 39.3778839 | Val. Loss : 38.3402710 | Val. Fail : 21
Epoch : 82 | Train Loss : 39.3352814 | Val. Loss : 38.2417831 | Val. Fail : 22
Epoch : 83 | Train Loss : 39.3114204 | Val. Loss : 38.1819420 | Val. Fail : 0
Epoch : 84 | Train Loss : 39.2719345 | Val. Loss : 38.2459068 | Val. Fail : 1
Epoch : 85 | Train Loss : 39.2568665 | Val. Loss : 38.2404518 | Val. Fail : 2
Epoch : 86 | Train Loss : 39.2534523 | Val. Loss : 38.2254066 | Val. Fail : 3
Epoch : 87 | Train Loss : 39.2364540 | Val. Loss : 38.3025475 | Val. Fail : 4
Epoch : 88 | Train Loss : 39.2381897 | Val. Loss : 38.2064133 | Val. Fail : 5
Epoch : 89 | Train Loss : 39.2391586 | Val. Loss : 38.2158699 | Val. Fail : 6
Epoch : 90 | Train Loss : 39.2274094 | Val. Loss : 38.5169640 | Val. Fail : 7
Epoch : 91 | Train Loss : 39.2127151 | Val. Loss : 38.2380714 | Val. Fail : 8
Epoch : 92 | Train Loss : 39.1739388 | Val. Loss : 38.3602219 | Val. Fail : 9
Epoch : 93 | Train Loss : 39.1796341 | Val. Loss : 38.2297020 | Val. Fail : 10
Epoch : 94 | Train Loss : 39.1715355 | Val. Loss : 38.2230263 | Val. Fail : 11
Epoch : 95 | Train Loss : 39.1603851 | Val. Loss : 38.2315712 | Val. Fail : 12
Epoch : 96 | Train Loss : 39.1310120 | Val. Loss : 38.1868210 | Val. Fail : 13
Epoch : 97 | Train Loss : 39.1160164 | Val. Loss : 38.2497673 | Val. Fail : 14
Epoch : 98 | Train Loss : 39.1030121 | Val. Loss : 38.2099838 | Val. Fail : 15
Epoch : 99 | Train Loss : 39.0880127 | Val. Loss : 38.2737503 | Val. Fail : 16
Epoch : 100 | Train Loss : 39.0860634 | Val. Loss : 38.2092438 | Val. Fail : 17
Epoch : 101 | Train Loss : 39.0559006 | Val. Loss : 38.2183456 | Val. Fail : 18
Epoch : 102 | Train Loss : 39.0462837 | Val. Loss : 38.2412758 | Val. Fail : 19
Epoch : 103 | Train Loss : 39.0487213 | Val. Loss : 38.2558403 | Val. Fail : 20
Epoch : 104 | Train Loss : 39.0499115 | Val. Loss : 38.2292519 | Val. Fail : 21
Epoch : 105 | Train Loss : 39.0384598 | Val. Loss : 38.2022057 | Val. Fail : 22
Epoch : 106 | Train Loss : 39.0285301 | Val. Loss : 38.2405052 | Val. Fail : 23
Epoch : 107 | Train Loss : 39.0180168 | Val. Loss : 38.2139549 | Val. Fail : 24
Epoch : 108 | Train Loss : 39.0088310 | Val. Loss : 38.3441734 | Val. Fail : 25
Epoch : 109 | Train Loss : 39.0247459 | Val. Loss : 38.2298927 | Val. Fail : 26
Epoch : 110 | Train Loss : 39.0015984 | Val. Loss : 38.1882133 | Val. Fail : 27
Epoch : 111 | Train Loss : 38.9670753 | Val. Loss : 38.2218285 | Val. Fail : 28
Epoch : 112 | Train Loss : 38.9802589 | Val. Loss : 38.6151810 | Val. Fail : 29
Epoch : 113 | Train Loss : 38.9845619 | Val. Loss : 38.2058487 | Val. Fail : 30
Epoch : 114 | Train Loss : 38.9630890 | Val. Loss : 38.2043991 | Val. Fail : 31
Epoch : 115 | Train Loss : 39.0117149 | Val. Loss : 38.2351341 | Val. Fail : 32
Epoch : 116 | Train Loss : 38.9744720 | Val. Loss : 38.4229164 | Val. Fail : 33
Epoch : 117 | Train Loss : 38.9869576 | Val. Loss : 38.1733665 | Val. Fail : 0
Epoch : 118 | Train Loss : 38.9703217 | Val. Loss : 38.1872215 | Val. Fail : 1
Epoch : 119 | Train Loss : 38.9731865 | Val. Loss : 38.1962814 | Val. Fail : 2
Epoch : 120 | Train Loss : 38.9764519 | Val. Loss : 38.1658897 | Val. Fail : 0
Epoch : 121 | Train Loss : 38.9648666 | Val. Loss : 38.2249832 | Val. Fail : 1
Epoch : 122 | Train Loss : 38.9527664 | Val. Loss : 38.4397774 | Val. Fail : 2
Epoch : 123 | Train Loss : 38.9668121 | Val. Loss : 38.2004128 | Val. Fail : 3
Epoch : 124 | Train Loss : 38.9796600 | Val. Loss : 38.1898727 | Val. Fail : 4
Epoch : 125 | Train Loss : 38.9942665 | Val. Loss : 38.1938248 | Val. Fail : 5
Epoch : 126 | Train Loss : 38.9793854 | Val. Loss : 38.1768379 | Val. Fail : 6
Epoch : 127 | Train Loss : 38.9821396 | Val. Loss : 38.1880188 | Val. Fail : 7
Epoch : 128 | Train Loss : 38.9468307 | Val. Loss : 38.2402534 | Val. Fail : 8
Epoch : 129 | Train Loss : 38.9479675 | Val. Loss : 38.1608772 | Val. Fail : 0
Epoch : 130 | Train Loss : 38.9703560 | Val. Loss : 38.1837196 | Val. Fail : 1
Epoch : 131 | Train Loss : 38.9371643 | Val. Loss : 38.2838211 | Val. Fail : 2
Epoch : 132 | Train Loss : 38.9297867 | Val. Loss : 38.1996803 | Val. Fail : 3
Epoch : 133 | Train Loss : 38.9305534 | Val. Loss : 38.1632500 | Val. Fail : 4
Epoch : 134 | Train Loss : 38.9560699 | Val. Loss : 38.2059784 | Val. Fail : 5
Epoch : 135 | Train Loss : 38.9290428 | Val. Loss : 38.4328995 | Val. Fail : 6
Epoch : 136 | Train Loss : 38.9160080 | Val. Loss : 38.2275696 | Val. Fail : 7
Epoch : 137 | Train Loss : 38.9037132 | Val. Loss : 38.1689301 | Val. Fail : 8
Epoch : 138 | Train Loss : 38.9029655 | Val. Loss : 38.2001953 | Val. Fail : 9
Epoch : 139 | Train Loss : 38.9043427 | Val. Loss : 38.1932068 | Val. Fail : 10
Epoch : 140 | Train Loss : 38.9026794 | Val. Loss : 38.3836021 | Val. Fail : 11
Epoch : 141 | Train Loss : 38.8899918 | Val. Loss : 38.2684326 | Val. Fail : 12
Epoch : 142 | Train Loss : 38.8871231 | Val. Loss : 38.3059769 | Val. Fail : 13
