
Network created: 2022-01-12_05-23-31
Model : Custom_Deep-DMP.scripts.utils.networks.DMPIntegratorNet
Data Path : D:/rllab/scripts/dmp/scripts/Custom_Deep-DMP\scripts/Data_Generator/generated\dmp_parameter-traj_N_2000000_points_3_n-bf_10_ay_15.pkl
Model Save Path : D:\rllab\scripts\dmp\scripts\Custom_Deep-DMP\models\Model_DMP_Integrator_2022-01-12_05-23-31
Layer Sizes : [24, 128, 128, 128, 40]
Importing dmp_parameter-traj_N_2000000_points_3_n-bf_10_ay_15.pkl ...
dmp_parameter-traj_N_2000000_points_3_n-bf_10_ay_15.pkl imported
Splitting dataset
Saving training parameters
Loss Function : MSELoss()
Optimizer : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 0.001
    lr: 3e-05
    weight_decay: 0
)
Initial Validation Loss : tensor(1258.6537, device='cuda:0')

Epoch : 1 | Train Loss : 927.4818726 | Val. Loss : 704.6336060 | Val. Fail : 0
Epoch : 2 | Train Loss : 569.2262573 | Val. Loss : 457.4857178 | Val. Fail : 0
Epoch : 3 | Train Loss : 384.4882202 | Val. Loss : 325.2135010 | Val. Fail : 0
Epoch : 4 | Train Loss : 277.9941101 | Val. Loss : 223.4289398 | Val. Fail : 0
Epoch : 5 | Train Loss : 173.7855835 | Val. Loss : 124.3624573 | Val. Fail : 0
Epoch : 6 | Train Loss : 102.6334152 | Val. Loss : 79.9656219 | Val. Fail : 0
Epoch : 7 | Train Loss : 69.3217926 | Val. Loss : 55.4971466 | Val. Fail : 0
Epoch : 8 | Train Loss : 53.6634598 | Val. Loss : 45.4428711 | Val. Fail : 0
Epoch : 9 | Train Loss : 47.8924065 | Val. Loss : 41.9099274 | Val. Fail : 0
Epoch : 10 | Train Loss : 45.8932838 | Val. Loss : 40.4520111 | Val. Fail : 0
Epoch : 11 | Train Loss : 44.9791679 | Val. Loss : 39.8732834 | Val. Fail : 0
Epoch : 12 | Train Loss : 44.5603561 | Val. Loss : 39.6245346 | Val. Fail : 0
Epoch : 13 | Train Loss : 44.1433067 | Val. Loss : 39.3894539 | Val. Fail : 0
Epoch : 14 | Train Loss : 43.8283920 | Val. Loss : 39.2542877 | Val. Fail : 0
Epoch : 15 | Train Loss : 43.6212616 | Val. Loss : 39.1674347 | Val. Fail : 0
Epoch : 16 | Train Loss : 43.4324722 | Val. Loss : 39.1642952 | Val. Fail : 0
Epoch : 17 | Train Loss : 43.2817917 | Val. Loss : 39.0083771 | Val. Fail : 0
Epoch : 18 | Train Loss : 43.1461525 | Val. Loss : 39.0537796 | Val. Fail : 1
Epoch : 19 | Train Loss : 43.0024300 | Val. Loss : 39.1411552 | Val. Fail : 2
Epoch : 20 | Train Loss : 42.8664017 | Val. Loss : 38.9042625 | Val. Fail : 0
Epoch : 21 | Train Loss : 42.7358360 | Val. Loss : 38.7528954 | Val. Fail : 0
Epoch : 22 | Train Loss : 42.5935135 | Val. Loss : 38.6633034 | Val. Fail : 0
Epoch : 23 | Train Loss : 42.4767036 | Val. Loss : 38.5733414 | Val. Fail : 0
Epoch : 24 | Train Loss : 42.4650917 | Val. Loss : 38.5288086 | Val. Fail : 0
Epoch : 25 | Train Loss : 42.2854118 | Val. Loss : 38.5251617 | Val. Fail : 0
Epoch : 26 | Train Loss : 42.2460175 | Val. Loss : 38.4544678 | Val. Fail : 0
Epoch : 27 | Train Loss : 42.2243423 | Val. Loss : 38.4606400 | Val. Fail : 1
Epoch : 28 | Train Loss : 42.1672440 | Val. Loss : 38.5798340 | Val. Fail : 2
Epoch : 29 | Train Loss : 42.1423836 | Val. Loss : 38.5418243 | Val. Fail : 3
Epoch : 30 | Train Loss : 42.1354561 | Val. Loss : 38.3919830 | Val. Fail : 0
Epoch : 31 | Train Loss : 42.1003685 | Val. Loss : 38.5387001 | Val. Fail : 1
Epoch : 32 | Train Loss : 42.1040459 | Val. Loss : 38.4306107 | Val. Fail : 2
Epoch : 33 | Train Loss : 42.0570374 | Val. Loss : 38.3805885 | Val. Fail : 0
Epoch : 34 | Train Loss : 42.0820923 | Val. Loss : 38.4348030 | Val. Fail : 1
Epoch : 35 | Train Loss : 42.0320854 | Val. Loss : 38.4515266 | Val. Fail : 2
Epoch : 36 | Train Loss : 42.0285416 | Val. Loss : 38.4116211 | Val. Fail : 3
Epoch : 37 | Train Loss : 42.0715332 | Val. Loss : 38.4331207 | Val. Fail : 4
Epoch : 38 | Train Loss : 42.0155373 | Val. Loss : 38.4045563 | Val. Fail : 5
Epoch : 39 | Train Loss : 42.0182571 | Val. Loss : 38.3546829 | Val. Fail : 0
Epoch : 40 | Train Loss : 42.0027962 | Val. Loss : 38.3469162 | Val. Fail : 0
Epoch : 41 | Train Loss : 41.9717636 | Val. Loss : 38.3539963 | Val. Fail : 1
Epoch : 42 | Train Loss : 41.9564857 | Val. Loss : 38.4463882 | Val. Fail : 2
Epoch : 43 | Train Loss : 41.9509201 | Val. Loss : 38.3612213 | Val. Fail : 3
Epoch : 44 | Train Loss : 41.9650459 | Val. Loss : 38.3388062 | Val. Fail : 0
Epoch : 45 | Train Loss : 41.9482231 | Val. Loss : 38.3715630 | Val. Fail : 1
Epoch : 46 | Train Loss : 41.9367142 | Val. Loss : 38.3297348 | Val. Fail : 0
Epoch : 47 | Train Loss : 41.9268723 | Val. Loss : 38.3306427 | Val. Fail : 1
Epoch : 48 | Train Loss : 41.9088478 | Val. Loss : 38.3492775 | Val. Fail : 2
Epoch : 49 | Train Loss : 41.9118652 | Val. Loss : 38.4064217 | Val. Fail : 3
Epoch : 50 | Train Loss : 41.9133301 | Val. Loss : 38.3097496 | Val. Fail : 0
Epoch : 51 | Train Loss : 41.8903885 | Val. Loss : 38.3637848 | Val. Fail : 1
Epoch : 52 | Train Loss : 41.9090538 | Val. Loss : 38.3899193 | Val. Fail : 2
Epoch : 53 | Train Loss : 41.8778572 | Val. Loss : 38.3193626 | Val. Fail : 3
Epoch : 54 | Train Loss : 41.8736000 | Val. Loss : 38.3690910 | Val. Fail : 4
Epoch : 55 | Train Loss : 41.8405800 | Val. Loss : 38.3726730 | Val. Fail : 5
Epoch : 56 | Train Loss : 41.8727646 | Val. Loss : 38.3549805 | Val. Fail : 6
Epoch : 57 | Train Loss : 41.8600044 | Val. Loss : 38.3555260 | Val. Fail : 7
Epoch : 58 | Train Loss : 41.8301544 | Val. Loss : 38.3418846 | Val. Fail : 8
Epoch : 59 | Train Loss : 41.8221550 | Val. Loss : 38.3688202 | Val. Fail : 9
Epoch : 60 | Train Loss : 41.8409386 | Val. Loss : 38.4122353 | Val. Fail : 10
Epoch : 61 | Train Loss : 41.8095932 | Val. Loss : 38.3199615 | Val. Fail : 11
Epoch : 62 | Train Loss : 41.7990685 | Val. Loss : 38.4874840 | Val. Fail : 12
Epoch : 63 | Train Loss : 41.8116798 | Val. Loss : 38.3529549 | Val. Fail : 13
Epoch : 64 | Train Loss : 41.8014793 | Val. Loss : 38.3059959 | Val. Fail : 0
Epoch : 65 | Train Loss : 41.7715073 | Val. Loss : 38.3171997 | Val. Fail : 1
Epoch : 66 | Train Loss : 41.8051682 | Val. Loss : 38.3042412 | Val. Fail : 0
Epoch : 67 | Train Loss : 41.7822189 | Val. Loss : 38.3480873 | Val. Fail : 1
Epoch : 68 | Train Loss : 41.7722244 | Val. Loss : 38.3278351 | Val. Fail : 2
Epoch : 69 | Train Loss : 41.7395592 | Val. Loss : 38.2999268 | Val. Fail : 0
Epoch : 70 | Train Loss : 41.7574196 | Val. Loss : 38.3305359 | Val. Fail : 1
Epoch : 71 | Train Loss : 41.7796631 | Val. Loss : 38.3562889 | Val. Fail : 2
Epoch : 72 | Train Loss : 41.7548332 | Val. Loss : 38.3491135 | Val. Fail : 3
