
Network created: 2022-01-12_11-59-51
Model : Custom_Deep-DMP.scripts.utils.networks.DMPIntegratorNet
Data Path : D:/rllab/scripts/dmp/scripts/Custom_Deep-DMP\scripts/Data_Generator/generated\dmp_parameter-traj_N_2000000_points_3_n-bf_10_ay_15.pkl
Model Save Path : D:\rllab\scripts\dmp\scripts\Custom_Deep-DMP\models\Model_DMP_Integrator_2022-01-12_11-59-51
Layer Sizes : [24, 1024, 64, 32, 64, 1024, 40]
Importing dmp_parameter-traj_N_2000000_points_3_n-bf_10_ay_15.pkl ...
dmp_parameter-traj_N_2000000_points_3_n-bf_10_ay_15.pkl imported
Splitting dataset
Saving training parameters
Loss Function : MSELoss()
Optimizer : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 0.001
    lr: 0.0003
    weight_decay: 0
)
Initial Validation Loss : tensor(1260.5516, device='cuda:0')

Epoch : 1 | Train Loss : 97.5501404 | Val. Loss : 39.3226204 | Val. Fail : 0
Epoch : 2 | Train Loss : 39.0830536 | Val. Loss : 38.3272667 | Val. Fail : 0
Epoch : 3 | Train Loss : 38.8656960 | Val. Loss : 38.1231842 | Val. Fail : 0
Epoch : 4 | Train Loss : 38.7615204 | Val. Loss : 38.2495651 | Val. Fail : 1
Epoch : 5 | Train Loss : 38.6961937 | Val. Loss : 38.1463661 | Val. Fail : 2
Epoch : 6 | Train Loss : 38.6809273 | Val. Loss : 38.3899498 | Val. Fail : 3
Epoch : 7 | Train Loss : 38.6695290 | Val. Loss : 38.0037918 | Val. Fail : 0
Epoch : 8 | Train Loss : 38.6551361 | Val. Loss : 38.0112686 | Val. Fail : 1
Epoch : 9 | Train Loss : 38.6405563 | Val. Loss : 37.9731178 | Val. Fail : 0
Epoch : 10 | Train Loss : 38.6274261 | Val. Loss : 38.1726570 | Val. Fail : 1
Epoch : 11 | Train Loss : 38.6368790 | Val. Loss : 38.0735855 | Val. Fail : 2
Epoch : 12 | Train Loss : 38.6224480 | Val. Loss : 38.0678253 | Val. Fail : 3
Epoch : 13 | Train Loss : 38.6142921 | Val. Loss : 38.0041313 | Val. Fail : 4
Epoch : 14 | Train Loss : 38.6067505 | Val. Loss : 38.0536308 | Val. Fail : 5
Epoch : 15 | Train Loss : 38.5877113 | Val. Loss : 38.1213684 | Val. Fail : 6
Epoch : 16 | Train Loss : 38.5813255 | Val. Loss : 38.0528717 | Val. Fail : 7
Epoch : 17 | Train Loss : 38.5876961 | Val. Loss : 38.0836067 | Val. Fail : 8
Epoch : 18 | Train Loss : 38.5870018 | Val. Loss : 37.9596100 | Val. Fail : 0
Epoch : 19 | Train Loss : 38.5889130 | Val. Loss : 38.0044441 | Val. Fail : 1
Epoch : 20 | Train Loss : 38.5676270 | Val. Loss : 37.9932022 | Val. Fail : 2
Epoch : 21 | Train Loss : 38.5759811 | Val. Loss : 37.9486122 | Val. Fail : 0
Epoch : 22 | Train Loss : 38.5679169 | Val. Loss : 37.9994469 | Val. Fail : 1
Epoch : 23 | Train Loss : 38.5780449 | Val. Loss : 37.9816818 | Val. Fail : 2
Epoch : 24 | Train Loss : 38.5598221 | Val. Loss : 37.9851761 | Val. Fail : 3
Epoch : 25 | Train Loss : 38.5737877 | Val. Loss : 38.1864014 | Val. Fail : 4
Epoch : 26 | Train Loss : 38.5558128 | Val. Loss : 37.9972801 | Val. Fail : 5
Epoch : 27 | Train Loss : 38.5712738 | Val. Loss : 38.2032318 | Val. Fail : 6
Epoch : 28 | Train Loss : 38.5536880 | Val. Loss : 38.0262337 | Val. Fail : 7
Epoch : 29 | Train Loss : 38.5546722 | Val. Loss : 37.9584274 | Val. Fail : 8
Epoch : 30 | Train Loss : 38.5409164 | Val. Loss : 37.9735146 | Val. Fail : 9
Epoch : 31 | Train Loss : 38.5440063 | Val. Loss : 38.0258789 | Val. Fail : 10
