
Network created: 2022-01-12_23-14-59
Model : Custom_Deep-DMP.scripts.utils.networks.DMPIntegratorNet
Data Path : D:/rllab/scripts/dmp/scripts/Custom_Deep-DMP\scripts/Data_Generator/generated\dmp_parameter-traj_N_2000000_points_3_n-bf_10_ay_15.pkl
Model Save Path : D:\rllab\scripts\dmp\scripts\Custom_Deep-DMP\models\Model_DMP_Integrator_2022-01-12_23-14-59
Layer Sizes : [24, 1024, 512, 256, 40]
Importing dmp_parameter-traj_N_2000000_points_3_n-bf_10_ay_15.pkl ...
dmp_parameter-traj_N_2000000_points_3_n-bf_10_ay_15.pkl imported
Splitting dataset
Saving training parameters
Loss Function : MSELoss()
Optimizer : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 0.001
    lr: 0.0003
    weight_decay: 0
)
Initial Validation Loss : tensor(1258.9078, device='cuda:0')

Epoch : 1 | Train Loss : 222.5346832 | Val. Loss : 43.1813583 | Val. Fail : 0
Epoch : 2 | Train Loss : 42.6027222 | Val. Loss : 38.3873444 | Val. Fail : 0
Epoch : 3 | Train Loss : 41.1915550 | Val. Loss : 38.0846024 | Val. Fail : 0
Epoch : 4 | Train Loss : 40.9828911 | Val. Loss : 38.0172920 | Val. Fail : 0
Epoch : 5 | Train Loss : 40.8284912 | Val. Loss : 38.0817223 | Val. Fail : 1
Epoch : 6 | Train Loss : 40.7800446 | Val. Loss : 38.2351303 | Val. Fail : 2
Epoch : 7 | Train Loss : 40.7256088 | Val. Loss : 38.2208138 | Val. Fail : 3
Epoch : 8 | Train Loss : 40.7370796 | Val. Loss : 38.0584450 | Val. Fail : 4
Epoch : 9 | Train Loss : 40.7200127 | Val. Loss : 38.2894630 | Val. Fail : 5
Epoch : 10 | Train Loss : 40.6397057 | Val. Loss : 38.1103973 | Val. Fail : 6
Epoch : 11 | Train Loss : 40.6394310 | Val. Loss : 38.1334076 | Val. Fail : 7
Epoch : 12 | Train Loss : 40.6285400 | Val. Loss : 38.5430374 | Val. Fail : 8
Epoch : 13 | Train Loss : 40.6283264 | Val. Loss : 38.1783943 | Val. Fail : 9
Epoch : 14 | Train Loss : 40.6272736 | Val. Loss : 38.0694389 | Val. Fail : 10
Epoch : 15 | Train Loss : 40.6338501 | Val. Loss : 38.3637085 | Val. Fail : 11
Epoch : 16 | Train Loss : 40.5873337 | Val. Loss : 38.0412827 | Val. Fail : 12
Epoch : 17 | Train Loss : 40.5592041 | Val. Loss : 38.3368263 | Val. Fail : 13
Epoch : 18 | Train Loss : 40.5900764 | Val. Loss : 38.0524521 | Val. Fail : 14
Epoch : 19 | Train Loss : 40.5502167 | Val. Loss : 38.1553688 | Val. Fail : 15
Epoch : 20 | Train Loss : 40.5469017 | Val. Loss : 38.3044586 | Val. Fail : 16
Epoch : 21 | Train Loss : 40.5256157 | Val. Loss : 38.4399109 | Val. Fail : 17
Epoch : 22 | Train Loss : 40.5097923 | Val. Loss : 37.9528275 | Val. Fail : 0
Epoch : 23 | Train Loss : 40.5392532 | Val. Loss : 38.1646385 | Val. Fail : 1
Epoch : 24 | Train Loss : 40.5082970 | Val. Loss : 38.0605545 | Val. Fail : 2
Epoch : 25 | Train Loss : 40.5088348 | Val. Loss : 38.2449074 | Val. Fail : 3
Epoch : 26 | Train Loss : 40.4158478 | Val. Loss : 38.1447411 | Val. Fail : 4
Epoch : 27 | Train Loss : 40.4463501 | Val. Loss : 38.2868958 | Val. Fail : 5
Epoch : 28 | Train Loss : 40.5080605 | Val. Loss : 38.3395386 | Val. Fail : 6
Epoch : 29 | Train Loss : 40.4205360 | Val. Loss : 38.2942047 | Val. Fail : 7
Epoch : 30 | Train Loss : 40.4447823 | Val. Loss : 38.0846710 | Val. Fail : 8
Epoch : 31 | Train Loss : 40.4208984 | Val. Loss : 38.3964653 | Val. Fail : 9
Epoch : 32 | Train Loss : 40.4010506 | Val. Loss : 38.1414452 | Val. Fail : 10
Epoch : 33 | Train Loss : 40.4218025 | Val. Loss : 38.0435677 | Val. Fail : 11
