
Network created: 2022-01-13_00-28-53
Model : Custom_Deep-DMP.scripts.utils.networks.DMPIntegratorNet
Data Path : /home/edgar/rllab/scripts/dmp/Custom_Deep-DMP/scripts/Data_Generator/generated/dmp_parameter-traj_N_2000000_points_3_n-bf_10_ay_15.pkl
Model Save Path : /home/edgar/rllab/scripts/dmp/Custom_Deep-DMP/models/Model_DMP_Integrator_2022-01-13_00-28-53
Layer Sizes : [24, 128, 128, 128, 40]
Importing dmp_parameter-traj_N_2000000_points_3_n-bf_10_ay_15.pkl ...
dmp_parameter-traj_N_2000000_points_3_n-bf_10_ay_15.pkl imported
Splitting dataset
Saving training parameters
Loss Function : MSELoss()
Optimizer : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 0.001
    lr: 0.0003
    weight_decay: 0
)
Initial Validation Loss : tensor(1255.3007, device='cuda:0')

Epoch : 1 | Train Loss : 288.9210510 | Val. Loss : 247.1148834 | Val. Fail : 0
Epoch : 2 | Train Loss : 245.9296722 | Val. Loss : 234.4695892 | Val. Fail : 0
Epoch : 3 | Train Loss : 237.5901794 | Val. Loss : 233.5314026 | Val. Fail : 0
Epoch : 4 | Train Loss : 236.6742249 | Val. Loss : 233.6143646 | Val. Fail : 1
Epoch : 5 | Train Loss : 236.3912506 | Val. Loss : 233.2350159 | Val. Fail : 0
Epoch : 6 | Train Loss : 236.2481995 | Val. Loss : 233.1299133 | Val. Fail : 0
Epoch : 7 | Train Loss : 236.0569916 | Val. Loss : 232.5915375 | Val. Fail : 0
Epoch : 8 | Train Loss : 222.1524963 | Val. Loss : 187.5491943 | Val. Fail : 0
Epoch : 9 | Train Loss : 82.0293350 | Val. Loss : 36.8657875 | Val. Fail : 0
Epoch : 10 | Train Loss : 45.2924538 | Val. Loss : 39.1272202 | Val. Fail : 1
Epoch : 11 | Train Loss : 39.2887535 | Val. Loss : 30.7613258 | Val. Fail : 0
Epoch : 12 | Train Loss : 37.7136765 | Val. Loss : 32.9522438 | Val. Fail : 1
Epoch : 13 | Train Loss : 36.4272842 | Val. Loss : 27.7877903 | Val. Fail : 0
Epoch : 14 | Train Loss : 33.1830482 | Val. Loss : 23.3220711 | Val. Fail : 0
Epoch : 15 | Train Loss : 28.8251953 | Val. Loss : 19.0713062 | Val. Fail : 0
Epoch : 16 | Train Loss : 23.2351131 | Val. Loss : 12.9362392 | Val. Fail : 0
Epoch : 17 | Train Loss : 20.2034054 | Val. Loss : 13.1287565 | Val. Fail : 1
Epoch : 18 | Train Loss : 19.0783081 | Val. Loss : 10.6424093 | Val. Fail : 0
Epoch : 19 | Train Loss : 18.4934521 | Val. Loss : 12.5476456 | Val. Fail : 1
Epoch : 20 | Train Loss : 18.1399574 | Val. Loss : 12.2024670 | Val. Fail : 2
Epoch : 21 | Train Loss : 17.7676563 | Val. Loss : 10.1777639 | Val. Fail : 0
Epoch : 22 | Train Loss : 17.6902103 | Val. Loss : 11.0401268 | Val. Fail : 1
Epoch : 23 | Train Loss : 17.4748707 | Val. Loss : 11.5324421 | Val. Fail : 2
Epoch : 24 | Train Loss : 17.2247810 | Val. Loss : 12.6940222 | Val. Fail : 3
Epoch : 25 | Train Loss : 17.0248680 | Val. Loss : 10.6618252 | Val. Fail : 4
Epoch : 26 | Train Loss : 16.7544785 | Val. Loss : 9.9253302 | Val. Fail : 0
Epoch : 27 | Train Loss : 16.5432205 | Val. Loss : 9.7782230 | Val. Fail : 0
