
Network created: 2022-01-13_02-13-28
Model : Custom_Deep-DMP.scripts.utils.networks.DMPIntegratorNet
Data Path : /home/edgar/rllab/scripts/dmp/Custom_Deep-DMP/scripts/Data_Generator/generated/dmp_parameter-traj_N_2000000_points_3_n-bf_10_ay_15_scale-pos_1_scale-w_1.pkl
Model Save Path : /home/edgar/rllab/scripts/dmp/Custom_Deep-DMP/models/Model_DMP_Integrator_2022-01-13_02-13-28
Layer Sizes : [24, 128, 128, 128, 40]
Importing dmp_parameter-traj_N_2000000_points_3_n-bf_10_ay_15_scale-pos_1_scale-w_1.pkl ...
dmp_parameter-traj_N_2000000_points_3_n-bf_10_ay_15_scale-pos_1_scale-w_1.pkl imported
Splitting dataset
Saving training parameters
Loss Function : MSELoss()
Optimizer : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 0.001
    lr: 0.0003
    weight_decay: 0
)
Initial Validation Loss : tensor(1259.1376, device='cuda:0')

Epoch : 1 | Train Loss : 64.7856598 | Val. Loss : 0.7280958 | Val. Fail : 0
Epoch : 2 | Train Loss : 4.5489845 | Val. Loss : 0.2537180 | Val. Fail : 0
Epoch : 3 | Train Loss : 4.1515326 | Val. Loss : 0.1153441 | Val. Fail : 0
Epoch : 4 | Train Loss : 3.9253998 | Val. Loss : 0.1386466 | Val. Fail : 1
Epoch : 5 | Train Loss : 3.7401383 | Val. Loss : 0.0966993 | Val. Fail : 0
Epoch : 6 | Train Loss : 3.5654263 | Val. Loss : 0.1623552 | Val. Fail : 1
Epoch : 7 | Train Loss : 3.4020932 | Val. Loss : 0.1163103 | Val. Fail : 2
Epoch : 8 | Train Loss : 3.2296329 | Val. Loss : 0.1158629 | Val. Fail : 3
Epoch : 9 | Train Loss : 3.0815976 | Val. Loss : 0.0857382 | Val. Fail : 0
Epoch : 10 | Train Loss : 2.9361300 | Val. Loss : 0.0719609 | Val. Fail : 0
Epoch : 11 | Train Loss : 2.8008063 | Val. Loss : 0.0950589 | Val. Fail : 1
Epoch : 12 | Train Loss : 2.6737187 | Val. Loss : 0.0990078 | Val. Fail : 2
Epoch : 13 | Train Loss : 2.5522678 | Val. Loss : 0.0912817 | Val. Fail : 3
Epoch : 14 | Train Loss : 2.4500899 | Val. Loss : 0.0888785 | Val. Fail : 4
Epoch : 15 | Train Loss : 2.3511000 | Val. Loss : 0.0919278 | Val. Fail : 5
Epoch : 16 | Train Loss : 2.2601631 | Val. Loss : 0.0526157 | Val. Fail : 0
Epoch : 17 | Train Loss : 2.1768541 | Val. Loss : 0.0494248 | Val. Fail : 0
Epoch : 18 | Train Loss : 2.1045563 | Val. Loss : 0.1644988 | Val. Fail : 1
Epoch : 19 | Train Loss : 2.0298717 | Val. Loss : 0.0518241 | Val. Fail : 2
Epoch : 20 | Train Loss : 1.9630142 | Val. Loss : 0.1006062 | Val. Fail : 3
Epoch : 21 | Train Loss : 1.9007617 | Val. Loss : 0.0448437 | Val. Fail : 0
Epoch : 22 | Train Loss : 1.8427570 | Val. Loss : 0.0738982 | Val. Fail : 1
Epoch : 23 | Train Loss : 1.7989304 | Val. Loss : 0.0386333 | Val. Fail : 0
Epoch : 24 | Train Loss : 1.7457643 | Val. Loss : 0.1474165 | Val. Fail : 1
Epoch : 25 | Train Loss : 1.6965497 | Val. Loss : 0.0559895 | Val. Fail : 2
Epoch : 26 | Train Loss : 1.6614813 | Val. Loss : 0.0484213 | Val. Fail : 3
Epoch : 27 | Train Loss : 1.6154026 | Val. Loss : 0.0496907 | Val. Fail : 4
Epoch : 28 | Train Loss : 1.5794237 | Val. Loss : 0.0442590 | Val. Fail : 5
Epoch : 29 | Train Loss : 1.5470765 | Val. Loss : 0.0910226 | Val. Fail : 6
Epoch : 30 | Train Loss : 1.5114548 | Val. Loss : 0.0450101 | Val. Fail : 7
Epoch : 31 | Train Loss : 1.4827659 | Val. Loss : 0.0719651 | Val. Fail : 8
Epoch : 32 | Train Loss : 1.4537770 | Val. Loss : 0.0491877 | Val. Fail : 9
Epoch : 33 | Train Loss : 1.4303296 | Val. Loss : 0.0599847 | Val. Fail : 10
Epoch : 34 | Train Loss : 1.4099152 | Val. Loss : 0.0407704 | Val. Fail : 11
Epoch : 35 | Train Loss : 1.3878787 | Val. Loss : 0.0457617 | Val. Fail : 12
Epoch : 36 | Train Loss : 1.3704510 | Val. Loss : 0.0619912 | Val. Fail : 13
Epoch : 37 | Train Loss : 1.3541845 | Val. Loss : 0.0571498 | Val. Fail : 14
Epoch : 38 | Train Loss : 1.3397455 | Val. Loss : 0.0337402 | Val. Fail : 0
Epoch : 39 | Train Loss : 1.3255727 | Val. Loss : 0.0535966 | Val. Fail : 1
Epoch : 40 | Train Loss : 1.3130897 | Val. Loss : 0.0564140 | Val. Fail : 2
Epoch : 41 | Train Loss : 1.2981710 | Val. Loss : 0.0351018 | Val. Fail : 3
Epoch : 42 | Train Loss : 1.2916769 | Val. Loss : 0.0275639 | Val. Fail : 0
Epoch : 43 | Train Loss : 1.2861270 | Val. Loss : 0.0307284 | Val. Fail : 1
Epoch : 44 | Train Loss : 1.2762430 | Val. Loss : 0.0441436 | Val. Fail : 2
Epoch : 45 | Train Loss : 1.2662171 | Val. Loss : 0.0503246 | Val. Fail : 3
Epoch : 46 | Train Loss : 1.2616568 | Val. Loss : 0.0583373 | Val. Fail : 4
Epoch : 47 | Train Loss : 1.2560422 | Val. Loss : 0.0580136 | Val. Fail : 5
Epoch : 48 | Train Loss : 1.2494361 | Val. Loss : 0.0305278 | Val. Fail : 6
Epoch : 49 | Train Loss : 1.2450175 | Val. Loss : 0.0616399 | Val. Fail : 7
Epoch : 50 | Train Loss : 1.2412525 | Val. Loss : 0.0315307 | Val. Fail : 8
Epoch : 51 | Train Loss : 1.2349626 | Val. Loss : 0.0333591 | Val. Fail : 9
Epoch : 52 | Train Loss : 1.2373310 | Val. Loss : 0.0447607 | Val. Fail : 10
Epoch : 53 | Train Loss : 1.2305948 | Val. Loss : 0.0208683 | Val. Fail : 0
Epoch : 54 | Train Loss : 1.2264788 | Val. Loss : 0.0631405 | Val. Fail : 1
Epoch : 55 | Train Loss : 1.2238817 | Val. Loss : 0.0572110 | Val. Fail : 2
Epoch : 56 | Train Loss : 1.2258197 | Val. Loss : 0.0306255 | Val. Fail : 3
Epoch : 57 | Train Loss : 1.2213136 | Val. Loss : 0.0339830 | Val. Fail : 4
Epoch : 58 | Train Loss : 1.2220581 | Val. Loss : 0.0346428 | Val. Fail : 5
Epoch : 59 | Train Loss : 1.2195518 | Val. Loss : 0.0412129 | Val. Fail : 6
Epoch : 60 | Train Loss : 1.2141564 | Val. Loss : 0.0301045 | Val. Fail : 7
Epoch : 61 | Train Loss : 1.2185631 | Val. Loss : 0.0301500 | Val. Fail : 8
Epoch : 62 | Train Loss : 1.2142564 | Val. Loss : 0.0663226 | Val. Fail : 9
Epoch : 63 | Train Loss : 1.2132936 | Val. Loss : 0.0452708 | Val. Fail : 10
Epoch : 64 | Train Loss : 1.2149472 | Val. Loss : 0.0717601 | Val. Fail : 11
Epoch : 65 | Train Loss : 1.2129319 | Val. Loss : 0.0452400 | Val. Fail : 12
Epoch : 66 | Train Loss : 1.2130343 | Val. Loss : 0.0413040 | Val. Fail : 13
Epoch : 67 | Train Loss : 1.2112343 | Val. Loss : 0.0253031 | Val. Fail : 14
Epoch : 68 | Train Loss : 1.2118055 | Val. Loss : 0.0534658 | Val. Fail : 15
Epoch : 69 | Train Loss : 1.2078136 | Val. Loss : 0.0347642 | Val. Fail : 16
Epoch : 70 | Train Loss : 1.2099191 | Val. Loss : 0.0234310 | Val. Fail : 17
Epoch : 71 | Train Loss : 1.2092690 | Val. Loss : 0.0595996 | Val. Fail : 18
Epoch : 72 | Train Loss : 1.2085025 | Val. Loss : 0.0214042 | Val. Fail : 19
Epoch : 73 | Train Loss : 1.2080387 | Val. Loss : 0.0301584 | Val. Fail : 20
Epoch : 74 | Train Loss : 1.2109267 | Val. Loss : 0.0268329 | Val. Fail : 21
Epoch : 75 | Train Loss : 1.2091843 | Val. Loss : 0.0300830 | Val. Fail : 22
Epoch : 76 | Train Loss : 1.2064478 | Val. Loss : 0.0382729 | Val. Fail : 23
Epoch : 77 | Train Loss : 1.2073852 | Val. Loss : 0.0395178 | Val. Fail : 24
Epoch : 78 | Train Loss : 1.2063658 | Val. Loss : 0.0760091 | Val. Fail : 25
Epoch : 79 | Train Loss : 1.2074875 | Val. Loss : 0.0616190 | Val. Fail : 26
Epoch : 80 | Train Loss : 1.2048472 | Val. Loss : 0.0269740 | Val. Fail : 27
Epoch : 81 | Train Loss : 1.2082212 | Val. Loss : 0.0255207 | Val. Fail : 28
Epoch : 82 | Train Loss : 1.2086177 | Val. Loss : 0.0246039 | Val. Fail : 29
Epoch : 83 | Train Loss : 1.2067645 | Val. Loss : 0.0354149 | Val. Fail : 30
Epoch : 84 | Train Loss : 1.2072442 | Val. Loss : 0.0391915 | Val. Fail : 31
Epoch : 85 | Train Loss : 1.2045767 | Val. Loss : 0.0455261 | Val. Fail : 32
Epoch : 86 | Train Loss : 1.2048978 | Val. Loss : 0.0301514 | Val. Fail : 33
Epoch : 87 | Train Loss : 1.2034576 | Val. Loss : 0.0322205 | Val. Fail : 34
Epoch : 88 | Train Loss : 1.2067871 | Val. Loss : 0.0281542 | Val. Fail : 35
Epoch : 89 | Train Loss : 1.2018517 | Val. Loss : 0.0435575 | Val. Fail : 36
Epoch : 90 | Train Loss : 1.2064203 | Val. Loss : 0.0350722 | Val. Fail : 37
Epoch : 91 | Train Loss : 1.2072679 | Val. Loss : 0.0343530 | Val. Fail : 38
Epoch : 92 | Train Loss : 1.2064922 | Val. Loss : 0.0324015 | Val. Fail : 39
Epoch : 93 | Train Loss : 1.2047393 | Val. Loss : 0.0595524 | Val. Fail : 40
Epoch : 94 | Train Loss : 1.2048528 | Val. Loss : 0.0210784 | Val. Fail : 41
Epoch : 95 | Train Loss : 1.2047576 | Val. Loss : 0.0350649 | Val. Fail : 42
Epoch : 96 | Train Loss : 1.2054942 | Val. Loss : 0.0213214 | Val. Fail : 43
Epoch : 97 | Train Loss : 1.2050856 | Val. Loss : 0.0392108 | Val. Fail : 44
Epoch : 98 | Train Loss : 1.2061408 | Val. Loss : 0.0402030 | Val. Fail : 45
