
Network created: 2022-01-13_21-00-23
Model : Custom_Deep-DMP.scripts.utils.networks.DMPIntegratorNet
Data Path : /home/edgar/rllab/scripts/dmp/Custom_Deep-DMP/scripts/generated/dmp_parameter-traj_N_2000000_random_points_4_cutting_traj_points_[2,3]_n-bf_15_ay_15_dt_0_scale-pos_1_scale-w_1.pkl
Model Save Path : /home/edgar/rllab/scripts/dmp/Custom_Deep-DMP/models/Model_DMP_Integrator_2022-01-13_21-00-23
Layer Sizes : [34, 512, 512, 512, 80]
Importing dmp_parameter-traj_N_2000000_random_points_4_cutting_traj_points_[2,3]_n-bf_15_ay_15_dt_0_scale-pos_1_scale-w_1.pkl ...
dmp_parameter-traj_N_2000000_random_points_4_cutting_traj_points_[2,3]_n-bf_15_ay_15_dt_0_scale-pos_1_scale-w_1.pkl imported
Splitting dataset
Saving training parameters
Loss Function : MSELoss()
Optimizer : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 0.001
    lr: 0.0003
    weight_decay: 0
)
Initial Validation Loss : tensor(1243.4281, device='cuda:0')

Epoch : 1 | Train Loss : 19.1787434 | Val. Loss : 0.1444695 | Val. Fail : 0
Epoch : 2 | Train Loss : 1.3128113 | Val. Loss : 0.1302764 | Val. Fail : 0
Epoch : 3 | Train Loss : 1.2315997 | Val. Loss : 0.0479637 | Val. Fail : 0
Epoch : 4 | Train Loss : 1.1949737 | Val. Loss : 0.0468869 | Val. Fail : 0
Epoch : 5 | Train Loss : 1.1632171 | Val. Loss : 0.0872769 | Val. Fail : 1
Epoch : 6 | Train Loss : 1.1366634 | Val. Loss : 0.1717318 | Val. Fail : 2
Epoch : 7 | Train Loss : 1.1153779 | Val. Loss : 0.0541505 | Val. Fail : 3
Epoch : 8 | Train Loss : 1.0929335 | Val. Loss : 0.0379519 | Val. Fail : 0
Epoch : 9 | Train Loss : 1.0722482 | Val. Loss : 0.0300901 | Val. Fail : 0
Epoch : 10 | Train Loss : 1.0496308 | Val. Loss : 0.0348176 | Val. Fail : 1
Epoch : 11 | Train Loss : 1.0321759 | Val. Loss : 0.0285671 | Val. Fail : 0
Epoch : 12 | Train Loss : 1.0110164 | Val. Loss : 0.0282827 | Val. Fail : 0
Epoch : 13 | Train Loss : 0.9926171 | Val. Loss : 0.0283558 | Val. Fail : 1
Epoch : 14 | Train Loss : 0.9742902 | Val. Loss : 0.0386377 | Val. Fail : 2
Epoch : 15 | Train Loss : 0.9585622 | Val. Loss : 0.0491362 | Val. Fail : 3
Epoch : 16 | Train Loss : 0.9404449 | Val. Loss : 0.0651188 | Val. Fail : 4
Epoch : 17 | Train Loss : 0.9247410 | Val. Loss : 0.0615884 | Val. Fail : 5
Epoch : 18 | Train Loss : 0.9076616 | Val. Loss : 0.1296106 | Val. Fail : 6
Epoch : 19 | Train Loss : 0.8912830 | Val. Loss : 0.0301938 | Val. Fail : 7
Epoch : 20 | Train Loss : 0.8753768 | Val. Loss : 0.0594683 | Val. Fail : 8
Epoch : 21 | Train Loss : 0.8605241 | Val. Loss : 0.0979814 | Val. Fail : 9
Epoch : 22 | Train Loss : 0.8454679 | Val. Loss : 0.0468077 | Val. Fail : 10
Epoch : 23 | Train Loss : 0.8318593 | Val. Loss : 0.0362044 | Val. Fail : 11
Epoch : 24 | Train Loss : 0.8171791 | Val. Loss : 0.0310775 | Val. Fail : 12
Epoch : 25 | Train Loss : 0.8033972 | Val. Loss : 0.0167180 | Val. Fail : 0
Epoch : 26 | Train Loss : 0.7907351 | Val. Loss : 0.0639326 | Val. Fail : 1
Epoch : 27 | Train Loss : 0.7770964 | Val. Loss : 0.0332009 | Val. Fail : 2
Epoch : 28 | Train Loss : 0.7664928 | Val. Loss : 0.0214633 | Val. Fail : 3
Epoch : 29 | Train Loss : 0.7543038 | Val. Loss : 0.0318077 | Val. Fail : 4
Epoch : 30 | Train Loss : 0.7411166 | Val. Loss : 0.1774028 | Val. Fail : 5
Epoch : 31 | Train Loss : 0.7297100 | Val. Loss : 0.0389259 | Val. Fail : 6
Epoch : 32 | Train Loss : 0.7186910 | Val. Loss : 0.0405398 | Val. Fail : 7
Epoch : 33 | Train Loss : 0.7071280 | Val. Loss : 0.0453301 | Val. Fail : 8
Epoch : 34 | Train Loss : 0.6964637 | Val. Loss : 0.0166244 | Val. Fail : 0
Epoch : 35 | Train Loss : 0.6848289 | Val. Loss : 0.0427877 | Val. Fail : 1
Epoch : 36 | Train Loss : 0.6760553 | Val. Loss : 0.0226816 | Val. Fail : 2
