
Network created: 2022-01-14_02-00-23
Model : Custom_Deep-DMP.scripts.utils.networks.DMPIntegratorNet
Data Path : /home/edgar/rllab/scripts/dmp/Custom_Deep-DMP/scripts/generated/dmp_parameter-traj_N_2500000_random_points_4_cutting_traj_points_[2,3]_n-bf_15_ay_15_dt_0_scale-pos_1_scale-w_1.pkl
Model Save Path : /home/edgar/rllab/scripts/dmp/Custom_Deep-DMP/models/Model_DMP_Integrator_2022-01-14_02-00-23
Layer Sizes : [34, 1024, 1024, 1024, 80]
Importing dmp_parameter-traj_N_2500000_random_points_4_cutting_traj_points_[2,3]_n-bf_15_ay_15_dt_0_scale-pos_1_scale-w_1.pkl ...
dmp_parameter-traj_N_2500000_random_points_4_cutting_traj_points_[2,3]_n-bf_15_ay_15_dt_0_scale-pos_1_scale-w_1.pkl imported
Splitting dataset
Saving training parameters
Loss Function : MSELoss()
Optimizer : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 0.001
    lr: 5e-05
    weight_decay: 0
)
Initial Validation Loss : tensor(994.4609, device='cuda:0')

Epoch : 1 | Train Loss : 61.6841431 | Val. Loss : 3.4879093 | Val. Fail : 0
Epoch : 2 | Train Loss : 4.5317159 | Val. Loss : 3.3450832 | Val. Fail : 0
Epoch : 3 | Train Loss : 4.2401481 | Val. Loss : 3.2307687 | Val. Fail : 0
Epoch : 4 | Train Loss : 4.0738583 | Val. Loss : 3.2547002 | Val. Fail : 1
Epoch : 5 | Train Loss : 3.9654624 | Val. Loss : 3.2311764 | Val. Fail : 2
Epoch : 6 | Train Loss : 3.8983331 | Val. Loss : 3.1982324 | Val. Fail : 0
Epoch : 7 | Train Loss : 3.8443263 | Val. Loss : 3.1907156 | Val. Fail : 0
Epoch : 8 | Train Loss : 3.8098381 | Val. Loss : 3.1388881 | Val. Fail : 0
Epoch : 9 | Train Loss : 3.7809594 | Val. Loss : 3.0859993 | Val. Fail : 0
Epoch : 10 | Train Loss : 3.7543080 | Val. Loss : 3.0995219 | Val. Fail : 1
Epoch : 11 | Train Loss : 3.7308939 | Val. Loss : 3.1295006 | Val. Fail : 2
Epoch : 12 | Train Loss : 3.7141478 | Val. Loss : 3.1008697 | Val. Fail : 3
Epoch : 13 | Train Loss : 3.6979871 | Val. Loss : 3.1199272 | Val. Fail : 4
Epoch : 14 | Train Loss : 3.6870060 | Val. Loss : 3.0627284 | Val. Fail : 0
Epoch : 15 | Train Loss : 3.6760566 | Val. Loss : 3.0846107 | Val. Fail : 1
Epoch : 16 | Train Loss : 3.6658812 | Val. Loss : 3.0796030 | Val. Fail : 2
Epoch : 17 | Train Loss : 3.6604021 | Val. Loss : 3.1007347 | Val. Fail : 3
Epoch : 18 | Train Loss : 3.6506996 | Val. Loss : 3.0668561 | Val. Fail : 4
Epoch : 19 | Train Loss : 3.6450741 | Val. Loss : 3.0505161 | Val. Fail : 0
Epoch : 20 | Train Loss : 3.6379468 | Val. Loss : 3.0893569 | Val. Fail : 1
Epoch : 21 | Train Loss : 3.6334682 | Val. Loss : 3.0845487 | Val. Fail : 2
Epoch : 22 | Train Loss : 3.6300876 | Val. Loss : 3.0909600 | Val. Fail : 3
Epoch : 23 | Train Loss : 3.6237874 | Val. Loss : 3.1420465 | Val. Fail : 4
Epoch : 24 | Train Loss : 3.6212838 | Val. Loss : 3.1169615 | Val. Fail : 5
