
Network created: 2022-01-14_09-52-15
Model : Custom_Deep-DMP.scripts.utils.networks.DMPIntegratorNet
Data Path : /home/edgar/rllab/scripts/dmp/Custom_Deep-DMP/scripts/generated/dmp_parameter-traj_N_2000000_10x_random_points_4_cutting_traj_points_[2,3]_n-bf_15_ay_15_dt_0_scale-pos_1_scale-w_1.pkl
Model Save Path : /home/edgar/rllab/scripts/dmp/Custom_Deep-DMP/models/Model_DMP_Integrator_2022-01-14_09-52-15
Layer Sizes : [34, 1024, 1024, 1024, 80]
Importing dmp_parameter-traj_N_2000000_10x_random_points_4_cutting_traj_points_[2,3]_n-bf_15_ay_15_dt_0_scale-pos_1_scale-w_1.pkl ...
dmp_parameter-traj_N_2000000_10x_random_points_4_cutting_traj_points_[2,3]_n-bf_15_ay_15_dt_0_scale-pos_1_scale-w_1.pkl imported
Splitting dataset
Saving training parameters
Loss Function : MSELoss()
Optimizer : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 0.001
    lr: 0.0003
    weight_decay: 0
)
Initial Validation Loss : tensor(780.3918, device='cuda:0')

Epoch : 1 | Train Loss : 138.1598053 | Val. Loss : 136.7106476 | Val. Fail : 0
Epoch : 2 | Train Loss : 136.8954315 | Val. Loss : 136.8882599 | Val. Fail : 1
Epoch : 3 | Train Loss : 136.8791199 | Val. Loss : 137.2085571 | Val. Fail : 2
Epoch : 4 | Train Loss : 136.8856049 | Val. Loss : 136.8503571 | Val. Fail : 3
Epoch : 5 | Train Loss : 136.8931427 | Val. Loss : 136.7327576 | Val. Fail : 4
Epoch : 6 | Train Loss : 136.8759155 | Val. Loss : 136.6781006 | Val. Fail : 0
Epoch : 7 | Train Loss : 136.8825378 | Val. Loss : 136.6882324 | Val. Fail : 1
Epoch : 8 | Train Loss : 136.8819580 | Val. Loss : 136.9608002 | Val. Fail : 2
Epoch : 9 | Train Loss : 136.8864136 | Val. Loss : 136.6602020 | Val. Fail : 0
Epoch : 10 | Train Loss : 136.8843231 | Val. Loss : 136.6328583 | Val. Fail : 0
Epoch : 11 | Train Loss : 136.8857574 | Val. Loss : 136.7215576 | Val. Fail : 1
Epoch : 12 | Train Loss : 136.8663483 | Val. Loss : 136.8181305 | Val. Fail : 2
Epoch : 13 | Train Loss : 136.8909454 | Val. Loss : 136.8736267 | Val. Fail : 3
Epoch : 14 | Train Loss : 136.8871307 | Val. Loss : 136.6560974 | Val. Fail : 4
Epoch : 15 | Train Loss : 136.8788147 | Val. Loss : 136.8076019 | Val. Fail : 5
Epoch : 16 | Train Loss : 136.8932495 | Val. Loss : 136.6112518 | Val. Fail : 0
